不可思议	5.4	7.2
不平	3.6	5.8
不甘	3.2	6.4
不安	3.8	5.4
不利	3.6	5.6
不足	4.2	4.2
不定	4.2	3.8
不宜	3.8	4.4
不幸	2.6	6
不拘小节	6.4	4.2
不服	3.4	6.6
不知所措	3.2	6.2
不便	4	4.4
不耐	4	4.4
不耐烦	3.6	6
不准	3.6	6.2
不屑	3	6
不悦	3.2	6
不爽	2.8	7.2
不祥	2.8	5.2
不符	3.8	4
不顺	3.6	4.6
不当	3.4	5.6
不解	4.2	4.2
不满	3.2	6.4
不适	3.6	4.6
正	6.6	5
多余	4	4
好	6.8	5.2
否定	3.4	5.4
否认	3.6	5.2
足够	5.8	4
肯定	6.8	6
哇	6	6.6
哎呀	4.8	6.8
恰好	6.4	5
耶	7.2	7.2
单独	4.4	3.6
无力	3.2	3.6
无足轻重	4.4	4
无情	2.6	5.8
无理	2.6	6.8
无暇	3.6	5.6
无趣	3.4	5.2
无礼	2.8	7
想	5.2	3.6
过分	2.8	6.8
对	6.4	4.8
认真	7	5
嘻	6.6	5.8
嘻嘻	7	6.2
随便	4.2	5.2
随意	5.6	4.2
丰富	6.8	5.6
愿意	6.8	5
小心	4.6	6
分享	6.8	4.6
支持	7.2	5
支撑	5.6	5.6
付出	5.8	5.6
失去	3.2	6.4
失败	2.2	7.2
打	3.2	6.6
同意	6.4	4.4
成功	8.2	6.6
死	1.2	5
吸引	6	6.2
希望	7	5.2
忘记	4	4.6
协助	6.6	4.6
抱	5.8	5.2
玩	5.6	5.8
信任	7.8	5.8
相信	7.2	5.4
讨厌	2.6	6.6
贡献	7.4	5.6
逃避	3	6
喜爱	7.2	6.2
喜欢	7	5.8
丧失	2.6	5.8
期望	6	5.2
答应	5.8	5
干	1	8.8
爱	8.2	5.4
爱好	7	5.6
感谢	7.4	5.6
损失	3.2	5.2
经历	5	4.8
遇到	5	4.2
游戏	5.8	4.8
鼓励	7	6.2
适合	5.6	3.8
担心	3.4	6.6
输	3	4.4
错过	3.6	4.4
帮忙	6.4	5
帮助	6.6	5.6
应付	4.2	5.4
谢谢	6.6	5.8
怀念	6	5.6
关心	6.4	6
关怀	6.8	6.4
赢	7.2	7
赢得	7.4	7
下流	2.2	7.6
王八蛋	1.4	8.6
他妈的	1.4	8.4
白目	2.2	7.2
白痴	2.2	7.4
呸	2.4	7.4
垃圾	2.2	7.4
怪胎	2.4	7
放屁	2.6	7
狗屁	2.4	7.6
淫妇	1.8	7.8
混蛋	2	8
笨蛋	3	5.6
妈的	2.2	7.6
愚蠢	2.8	6
该死	2.6	7.6
贱	2.2	7.2
贱人	2	7.8
贱货	1.8	8.2
操	2	8
荡妇	1.8	7.8
蹩脚	3.6	5.2
坏蛋	3	6.4
烂货	2.2	6.8
白痴	2.4	6.4
八卦	3.4	4.6
仇人	2.2	7.2
仇恨	2.2	7.8
仇敌	2	7.6
分担	5.6	4.4
友	6.4	4.2
反驳	3.8	6.4
打岔	3.8	4.2
打架	2.6	7.6
打断	4	4.6
交往	6.4	5.2
同情	5.4	4.2
安心	5.6	2.4
伴侣	7	4.6
忌妒	3	6.8
批评	3.2	7.6
抗议	3.2	7.8
取笑	3.6	6.2
坦白	6	5.6
奉承	3.6	5.6
奉献	6.8	6
抱怨	2.8	6.6
拒绝	3	6.6
放心	6.2	3.2
朋友	6.8	4.2
争吵	3.4	6.6
争论	3.8	6.6
知己	7.2	4.8
侮辱	2.4	7.6
信服	6.4	5.4
信赖	7.2	5.4
冒犯	3.2	7
怨恨	2	7.8
指责	3.4	6.8
原谅	5.8	4.2
辱骂	2.4	7
斗争	3	7.4
情人	6.8	6.6
甜心	6.8	6
责备	3.4	6.4
逗弄	5.4	5.4
插嘴	3.6	5.6
款待	6.2	5.4
诅咒	2.2	7.4
开玩笑	6.2	5.2
闲话	4	4.4
爱人	7.2	6.8
爱恋	7.6	6.8
隔离	3.4	5
嘉奖	6.8	5.8
称赞	6.8	6
说服	5	4.2
说长道短	3.2	5
驳斥	2.8	7.2
嘲弄	2.6	6.2
嘲笑	2.6	6.6
嘲骂	2.6	7.4
嘲讽	2.6	7.4
宽恕	6.2	4.6
庆典	6.6	5.6
庆祝	7	6.4
怜悯	5.8	5
挚友	7.4	5.2
敌人	3	6
乐意	6.8	5.4
热爱	7.2	7
调情	5.4	6.8
谄媚	3.4	5.6
亲切	7	5
亲爱	7.4	6
亲爱的	7.2	6.4
帮手	6.4	4.8
戏弄	3.4	6.2
钟爱	7	6.6
归咎	3.2	5.6
离婚	2.4	5.8
怀疑	3.8	4.4
讥	3.2	6
宝贝	7.4	6.4
饶恕	5.6	5
谴责	3	7.2
欢迎	7.2	6.4
欢送	6	6.2
欢聚	7.2	6.2
恋人	7	5.8
恋爱	7.6	6.4
赞美	7	5.6
赞扬	7.6	6.6
赞誉	7.6	6.8
ㄏㄏ	5.8	4.6
一无所有	2.4	4.4
七窍生烟	2.2	7.8
了不起	7	6.4
人心惶惶	2.6	7.4
上级	4.8	4.4
上当	3.2	6.2
下定决心	6.2	6.8
口吃	3.8	4
大方	6.4	5.2
大笑	6.4	6.8
大胆	5.4	6.2
小气	3.6	4.6
小偷	3.2	5.6
才能	6.6	4.6
才智	7	4.6
不仁	3	5.8
不贞	2.8	6.8
不顾一切	4.6	7.8
中断	4.6	3.6
仁心	7.4	5.2
仁术	7.4	5
仁爱	7.8	5.2
仁慈	7.8	5.2
仁义	7.4	5.4
仇	2.4	6
仇杀	1.4	8.2
仇视	2	7.6
元凶	2.2	6.4
内疚	3	5
公愤	2.4	8
凶	2.8	7.2
分心	4	4.4
分手	2.8	6.4
分歧	3.2	5.6
分红	6.2	4.4
分散	4.4	3.8
分裂	3.6	5.8
勾引	3.8	6.4
厄运	3	5.8
及时	6.4	5.4
反抗	3.6	6.6
反叛	2.8	6.4
反派	3.2	5
反感	3.6	5.2
反对	3.4	6.2
天才	6.8	5.4
天堂	7	5.4
天资	5.8	4.4
天赋	6	4.4
幻想	4.6	4.2
引人注目	5.8	6.4
引诱	3.8	6.4
心灰意冷	2.8	3.6
心神不定	3.2	6.6
心神不宁	3.2	6.8
心情	5	3.6
心痛	2.6	7.2
心爱	7.2	6.4
心烦意乱	3	7.4
心碎	2.2	8
心酸	2.8	6.8
支配	4.6	5.2
欠债	3.4	4.6
毛骨悚然	2.2	8
火热	6.4	7.2
世仇	1.8	8.2
乏味	3.4	3
仔细	6.2	3.8
充沛	6.6	6
出色	7.2	5.6
功劳	6.8	5.4
古怪	4.2	4.8
可口	6.4	5.8
可怕	3.4	6.8
可耻	2.4	7.2
可笑	3	6.6
可悲	2.6	6.4
可恶	2.4	7.2
可爱	7	6.2
可鄙	2.4	7.4
可憎	2.4	7.2
可怜	3.6	5.2
可靠	6.8	5.2
外向	6	5.8
外行	3.8	4.6
外伤	3.6	6.2
失眠	3	3.6
失控	2.4	7.8
失望	3	5.6
失误	3.6	5.4
平安	7.2	3.4
平和	7	2.8
平庸	4.6	3
平静	6.4	2.4
平稳	5.8	3.4
打仗	3	7.6
打倒	3.4	6.6
打破	4	6.2
打情骂俏	4.6	6.6
打败	6.2	6
打击	4.2	6.8
打扰	3.6	5.6
打搅	3.6	5.6
末日	1.8	6.8
正面	6.6	4.6
生命力	6.8	5.8
生气	5.4	5.8
生气勃勃	7	6.8
生病	3.4	4
生动	6.4	5.8
生疏	3.8	3.4
生厌	3.4	5.8
用力	5	7
目瞪口呆	5	7.4
矛盾	4.2	4.6
丢人	2.8	6
丢人现眼	2.4	6.8
丢下	2.8	5.4
丢弃	3	5.6
丢脸	3	5.8
交战	4	7.4
任性	3.4	5.4
凶	3.4	7.2
光亮	5.8	4.6
光荣	6.8	6.2
光辉	6.6	5.8
劣	3	5
危	3.2	6.6
吃醋	3.6	6.6
吃惊	3.8	7.8
合宜	6.2	4.4
回春	6.2	4.8
多情	4.2	6
多疑	3.8	6
好玩	6.2	5.8
好笑	6.2	6.4
好处	6.2	5
好棒	7.2	6.6
好运	6.6	5.2
妄想	3.2	6
安全	6.4	4.4
安逸	6	3.4
安宁	6.2	2.8
安静	5.6	2.4
安稳	6	2.6
成见	3.8	5.2
成就	7	6.2
收获	6.8	5.6
曲解	3.4	6
有力	6	6
有用	6.4	5.2
有利	5.8	5.4
有助	6.4	5.2
有害	3.4	5.6
有效	6.6	5
有益	6.6	5
有趣	7	5.6
有钱	6.4	5.4
次要	4.6	5
次等	4	4.6
死人	2.2	7
死亡	2.2	6.8
死不	3.8	5.6
死心	2.4	5.8
死刑	2.4	7.2
死气	3	5.8
死期	2.8	6.6
死当	3	6.4
死路	3.2	5
死对头	2.6	7.4
污秽	2.4	7.2
灰心	3.6	4.6
百感交集	3.4	7.2
自大	3	6.6
自甘堕落	2.6	5.2
自由	6.6	5.2
自在	6.8	4.6
自私	3.2	4.6
自卑	2.6	3.8
自信	7	5.6
自负	4.6	6
自责	3.6	5.2
自尊	5.4	4.8
自豪	6.6	6
自鸣得意	4.2	5
自暴自弃	2	7
至高无上	7.6	6.8
至善	7.6	6
色情	2.8	6.2
伶俐	6.8	5
低沉	4.6	3.4
低能	2.6	4.6
低能儿	2.6	4.8
低迷	3.6	3.2
低落	3.8	3
占便宜	3.6	4.4
作呕	2.6	7.4
作弊	2	6.4
克制	5	5
免费	6.2	4.8
冷	3.6	4.4
冷淡	3	3.6
冷酷	2.4	5.4
冷静	5.2	4.4
利己	5.6	4.8
利益	6.2	5
利润	6.6	5.4
吝啬	3.4	4.6
含糊	3.8	4.2
吹毛求疵	3.2	5.6
吻	7.2	7.6
呆	3.8	3.8
困	3.8	4.4
坎坷	2	4.8
壮阔	6.8	6
壮丽	7	6.4
壮观	7	6.8
妓女	2.8	4.8
妨害	2.6	6.2
妨碍	3.2	5.8
孝	7.2	4
孝顺	7.4	5.4
孝敬	7.4	5.4
完美	7.6	6.4
完备	6.8	4.8
完善	6.8	4.6
宏大	7	6
宏伟	7.2	7
屁眼	1.8	5.6
岔开	4	4.2
巫婆	3.6	5
